掲示場番号,住所,設置場所,緯度,経度
29.8,旗の台2-10-09,中原街道／歩道植込み,35.605995,139.701416
30.1,旗の台3-1-08,文教大学学園／万年塀,35.606007,139.705612
30.2,旗の台3-6-12,旗岡八幡神社／入口右側石柵,35.604702,139.708572
30.3,旗の台3-6-18,法蓮寺駐車場／左側生け垣,35.603966,139.708221
30.4,旗の台3-16,立会川児童遊園／遊園内植込み,35.604214,139.706207
30.5,旗の台4-7-11,旗台小学校／東側フェンス,35.603348,139.704727
30.6,旗の台4-7-11,旗台小学校／西側生け垣,35.603348,139.704727
30.7,旗の台3-11,立会川児童遊園／植込み,35.605247,139.704315
30.8,旗の台5-11-13,荏原第五中学校／校庭側コンクリート塀,35.603302,139.702591
31.1,平塚1-18,補助26号線（ﾆｭｰｼﾃｨｱﾊﾟｰﾄﾒﾝﾂ戸越前）／歩道植込み,35.612705,139.714035
31.2,平塚2-1-14,中原街道（戸越銀座ラウンドビル前）／歩道植込み,35.618927,139.716446
31.3,平塚2-2-03,平塚保育園／北側フェンス,35.996807,139.598267
31.4,平塚2-7-06,東電パワーグリッド戸越変電所／コンクリ－ト塀,35.996807,139.598267
31.5,平塚2-19-20,京陽小学校／東側万年塀,35.614975,139.712479
31.6,平塚2-19-20,京陽小学校／西側フェンス,35.614975,139.712479
31.7,平塚3-9-01,ひらさん広場／西側植込み,35.614189,139.712738
31.8,平塚3-16,補助26号線（荏原平塚学園前）／歩道植込み,35.615265,139.710205
32.1,中延1-1-05,荏原税務署／鉄柵,35.613773,139.709335
32.2,中延1-5,補助26号線（Ｐ・Ｏビル前）／歩道植込み,35.61277,139.712524
32.3,中延1-11-15,中延小学校／東側フェンス,35.612083,139.709946
32.4,中延1-11-15,中延小学校／体育館側フェンス,35.612083,139.709946
32.5,西中延1-4-21,中原街道（NTT荏原ビル前）／歩道植込み,35.613922,139.707962
32.6,西中延1-7-23,荏原郵便局／通用門鉄柵,35.612911,139.707275
32.7,東中延1-2,補助26号線（ｾﾝﾁｭﾘｰﾊｲﾂ品川戸越前）／歩道植込み,35.611908,139.713593
32.8,東中延1-8-09,東中はなみずき公園／公園内植込み,35.611046,139.712769
33.1,中延3-2-03,荏原中延駅先昭和通り交差路／南側植込み,35.609062,139.711075
33.2,中延3-3,東急池上線上／植込み,35.608585,139.710632
33.3,西中延2-1,中原街道／歩道植込み,35.610561,139.705963
33.4,西中延2-14,中原街道（昭和大学病院附属東病院前）／歩道植込み,35.609604,139.705658
33.5,西中延2-17-05,延山小学校／正門右側フェンス,35.608772,139.708023
33.6,西中延2-17-05,延山小学校／体育館裏植込み,35.608772,139.708023
33.7,西中延3-2,延山くすのき公園西側向かい／植込み,35.608089,139.707886
33.8,西中延3-10-11,西中お日さま公園／植込み,35.607128,139.706879
34.1,中延4-9-08,宮野駐車場横／フェンス,35.605103,139.712082
34.2,中延4-16,法蓮寺仲通り墓地／フェンス,35.604641,139.709137
34.3,中延5-14-05,荏原町公園／公園内植込み,35.602173,139.709
34.4,中延5-7,立会川緑道／植込み,35.603191,139.707352
34.5,中延5-12-11,中延みちしるべ防災広場／広場内植込み,35.601124,139.708282
34.6,中延6-2-18,源氏前小学校／東側植込み,35.60284,139.711731
34.7,中延6-4-15,源氏前公園／植込み,35.602219,139.712158
34.8,中延6-8,立会川緑道（中延特別養護老人ホーム前）／植込み,35.601826,139.711487
35.1,戸越1-4-11,戸越ひだまり広場／植込み,35.61694,139.719376
35.2,戸越1-7-17,戸越台公園／植込み,35.616005,139.717575
35.3,戸越1-9-06,戸越一丁目防災活動広場／フェンス,35.616371,139.718506
35.4,戸越1-15-23,戸越台中学校／東側植込み,35.61578,139.717072
35.5,戸越1-15-23,戸越台中学校／正面入口植込み,35.61578,139.717072
35.6,戸越1-29-21,わかば公園／植込み,35.615479,139.721497
35.7,戸越2-1-08,戸越二丁目広場／広場内,35.614491,139.718246
35.8,戸越3-9-20,戸越児童遊園／フェンス,35.612083,139.715622
36.1,東中延2-5-10,東中延保育園／塀,35.607677,139.713898
36.2,戸越5-2-01,補助26号線（カスタリア戸越前）／歩道植込み,35.610897,139.716125
36.3,戸越5-10-07,伊藤駐車場／フェンス,35.609039,139.718369
36.4,戸越5-12-10,戸越五丁目防災活動広場／植込み,35.609558,139.717148
36.5,戸越6-8-12,戸越南公園／鉄柵,35.607178,139.718536
36.6,戸越6-14-01,大原公園／鉄柵,35.607422,139.714294
36.7,戸越6-17-03,大原小学校／正門側フェンス,35.607132,139.716187
36.8,戸越6-17-03,大原小学校／東側植込み,35.607132,139.716187
37.1,戸越4-5-10,宮前小学校／北門側フェンス,35.611847,139.719055
37.2,戸越4-5-10,宮前小学校／南門側フェンス,35.611847,139.719055
37.3,豊町1-16-23,旧三井文庫第二書庫前／コンクリート塀,35.611206,139.720428
37.4,豊町1-16-23,文庫の森公園／東側植込み,35.611206,139.720428
37.5,豊町2-1-07,大崎高校／植込み,40.272575,140.557144
37.6,豊町2-1-11,戸越小学校／体育館側鉄柵,35.849468,139.960098
37.7,豊町2-1-30,戸越公園／東側フェンス,35.611183,139.722763
37.8,豊町2-15-20,品川学藝高等学校／鉄柵,35.61026,139.725449
38.1,豊町3-5-31,旧荏原第四中跡地／生け垣,35.60865,139.720917
38.2,豊町3-10-22,伊藤駐車場／フェンス,35.607597,139.72258
38.3,豊町4-1-12,豊町児童遊園／フェンス,35.607071,139.719131
38.4,豊町5-14-07,豊町5-14開放広場／フェンス,40.272522,140.552368
38.5,豊町4-24-15,杜松ホーム／北側植込み,35.605442,139.722931
38.6,豊町3-5-31,旧荏原第四中跡地／線路側フェンス,35.60865,139.720917
38.7,豊町5-2-07,東電パワーグリッド旧荏原変電所社宅／フェンス,40.272034,140.553207
38.8,豊町4-17-01,豊四中央防災広場／植込み,40.272873,140.553024
39.1,豊町6-11,ゆたか防災広場／植込み,40.272762,140.551758
39.2,豊町6-17-01,平澤宅／万年塀,40.273327,140.551788
39.3,二葉4-3-15,上神明児童遊園／北側鉄柵,35.602505,139.714249
39.4,二葉4-4-10,上神明小学校／北門脇鉄柵,35.602905,139.715851
39.5,二葉4-4-10,上神明小学校／正門脇鉄柵,35.602905,139.715851
39.6,二葉4-13,二葉公園／植込み,35.603359,139.718094
39.7,豊町6-16-03,豊町公園／植込み,40.273243,140.551788
39.8,二葉4-26-11,上神明児童遊園／南側生け垣,35.601723,139.714035
40.1,西品川1-27,しながわ中央公園／北側植込み,35.609653,139.728378
40.2,西品川1-27,しながわ中央公園／南側植込み,35.609653,139.728378
40.3,広町2-1-36,品川区役所防災センター／植込み,35.608822,139.729767
40.4,広町2-1-36,品川区役所総合庁舎前／歩道植込み,35.608822,139.729767
40.5,二葉1-1,神明児童遊園／植込み,35.608646,139.726654
40.6,二葉1-3-40,豊葉の杜学園／南側植込み,35.607521,139.725403
40.7,二葉2-4-04,大盛湯／ブロック塀,35.604591,139.72554
40.8,二葉2-17,立会道路／植込み,35.60331,139.724609
41.1,南大井1-22-01,鈴ケ森道路児童遊園／植込み,35.594376,139.736618
41.2,南大井1-12,みなみ児童遊園／立会川交番横植込み,35.596531,139.737549
41.3,南大井1-13-08,みなみ児童遊園／区営住宅入口脇植込み,35.595406,139.73703
41.4,南大井2-3-14,鈴ケ森中学校／南側フェンス,35.593216,139.737549
41.5,南大井2-3-14,鈴ケ森中学校／西側フェンス,35.593216,139.737549
41.6,勝島1-6-05,わかくさ公園／植込み,35.596329,139.744278
41.7,勝島1-9-11,浜川荘／植込み,35.59716,139.742661
41.8,勝島3-2-02,しながわ区民公園／植込み（銅像モニュメント付近）,35.589008,139.737595
41.9,勝島1-6-10,勝島町住宅2号棟前／歩道植込み,35.598038,139.745132
42.1,八潮5-1-03,八潮北保育園／正門左側鉄柵,35.810394,139.841431
42.2,八潮5-2-01,明晴学園／南側植込み,35.809692,139.840591
42.3,八潮5-11,八潮学園／入口左側植込み,35.808029,139.839615
42.4,八潮5-11,八潮学園／南側植込み,35.808029,139.839615
42.5,八潮5-11-16,八潮公園／公園内地域センター寄り公園入口植込み,35.600132,139.751862
42.6,八潮5-11-16,八潮公園／公園内多目的広場東側植込み,35.600132,139.751862
42.7,八潮5-12-65,潮路北第一ハイツ65号棟／東側フェンス,35.808746,139.840897
43.1,八潮5-5,パトリア品川／植込み,35.80888,139.839432
43.2,八潮5-6-01,しおじ公園／32号棟東側植込み,35.809395,139.839218
43.3,八潮5-7,しおじ公園／ポンプ場側道路脇植込み,35.809196,139.838745
